years_by_quarter,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-01-01,75.09,62.32,60.77,66.73,41.68,54.27,62.33,77.20,65.83,73.93,64.84,69.99,66.37,66.03,59.29,61.81,64.15,51.69,60.96,61.88,67.84,60.23,55.29,75.26,65.36,57.30,63.67,52.21,78.45,63.84,56.93,78.41,66,67.92,65.02,52.13,51.12,70.79,61.5,75.41,75.07,68.03,55.55,55.09,77.35,69.83,46.13,50.19,61.85,49.32
1975-04-01,72.29,64.53,60.11,60.48,42.74,54.81,62.61,89.74,83.43,72.00,53.99,65.04,62.20,60.88,63.46,62.22,65.69,55.12,88.24,62.36,66.01,62.57,55.81,72.17,73.89,56.57,62.93,52.07,54.32,59.24,58.82,75.72,67.07,59.27,64.75,53.29,51.49,69.59,66.04,69.85,70.26,68.78,58.51,57.57,77.06,66.7,47.20,65.41,62.64,47.99
1975-07-01,74.60,67.66,59.53,65.12,44.27,54.72,61.78,115.93,66.85,74.30,55.51,57.27,64.15,61.98,64.24,63.29,67.00,52.89,68.41,65.08,67.29,63.16,58.07,72.61,65.58,59.48,61.20,53.79,58.91,60.01,59.38,77.64,68.98,66.2,64.43,52.71,54.17,74.17,64.9,72.28,65.14,67.74,56.06,55.17,67.15,67.38,49.67,66.18,64.61,50.23
1975-10-01,71.76,68.48,56.48,62.60,45.77,54.91,61.97,71.89,68.24,73.66,56.12,61.93,66.73,63.36,65.70,64.57,68.31,55.63,71.14,66.77,70.25,62.31,60.00,73.15,65.14,58.49,67.99,48.77,52.68,62.83,55.78,79.78,70.49,63.22,65.99,54.69,53.41,71.85,67.13,70.11,63.85,70.93,59.36,59.81,72.73,67.74,48.01,66.73,69.04,53.71
1976-01-01,77.17,71.57,59.16,66.82,47.79,54.91,64.73,79.74,67.98,71.28,53.80,56.81,67.75,62.32,67.74,66.57,69.47,58.84,55.75,67.17,67.29,62.68,62.56,73.09,67.08,59.96,67.19,58.76,83.13,62.82,59.72,73.01,68.59,75.01,66.58,54.75,57.16,72.72,65.94,71.03,62.91,69.92,58.7,61.49,117.01,69.46,50.33,61.94,65.44,54.42
1976-04-01,74.26,71.85,62.83,68.65,50.25,59.82,64.12,84.65,75.93,73.08,56.71,74.17,70.24,65.70,70.35,67.24,68.55,58.85,70.01,69.80,69.05,64.20,62.44,74.69,77.45,65.47,67.72,59.02,66.15,63.82,61.48,74.89,69.83,72.83,68.73,60.95,56.9,76.76,68.96,77.47,65.8,68.58,63.51,61.28,57.56,68.57,53.59,66.95,65.52,55.63
1976-07-01,77.35,74.48,61.03,71.55,53.56,59.55,67.19,80.55,69.04,79.12,54.84,64.78,73.40,65.68,74.27,68.52,69.04,58.17,83.58,70.58,68.68,64.32,62.99,71.97,69.40,65.09,67.95,60.93,63.99,65.89,63.83,75.52,70.63,71.44,71.09,59.22,59.98,77.45,70.63,76.64,68.73,71.4,63.28,64.65,81.17,70.54,56.55,68.78,67.61,58.58
1976-10-01,79.73,74.24,61.22,72.28,55.58,62.09,67.86,87.02,70.36,78.37,56.47,69.61,73.05,68.61,71.33,70.42,69.35,61.73,70.65,71.71,70.22,65.63,64.48,83.38,69.17,65.62,70.49,60.96,70.93,62.05,65.42,73.87,70.71,72.83,72.37,62.29,63.53,75.16,69.59,75.68,66.63,71.62,63.05,64.01,79.54,71.98,57.77,63.02,68.34,62.99
1977-01-01,81.28,78.83,63.64,73.19,58.02,64.97,64.18,89.93,71.08,76.77,56.28,72.89,80.18,71.13,76.23,72.55,69.85,62.77,74.59,72.15,72.50,67.31,66.59,75.15,71.42,66.40,72.26,63.56,72.27,65.03,70.17,77.75,75.07,82.14,73.20,64.18,67.12,74.60,69.48,75.83,62.84,74.97,65.95,69.68,114.4,73.08,59.75,68.07,72.73,63.43
1977-04-01,83.59,77.47,64.01,75.17,63.01,65.55,68.45,77.99,79.13,76.23,59.14,75.98,83.82,71.21,78.32,75.78,73.41,65.19,80.78,73.45,69.89,68.14,68.78,77.27,81.36,72.26,73.99,64.88,69.23,65.28,70.11,82.88,73.99,85.6,75.27,63.77,69.04,80.35,72.47,79.19,70.38,77.42,71.56,70.75,82.4,75.09,62.88,85.2,76.05,64.79
